(-0.14222010693745854, -0.06763103396276707, 0.9875218906068993)
(0.10358617446019612, 0.0392648088643349, 0.9938451485244314)
(0.082620593610181, -0.08151008410632737, 0.9932421374974386)
(-0.008153355934510784, 0.008860539711542, -0.999927504183691)
(0.014101613572762586, -0.07693524091175591, -0.9969363636664552)
(-0.014141662325150328, 0.1106206858471768, -0.9937620828193143)
(0.007143085488332837, 0.007247551226945401, -0.9999482233250475)
(-0.01401593839335384, -0.019071640175726014, -0.9997198737706284)
(0.03654915823437012, 0.01934960550528709, -0.9991445099679769)
(-0.037689015068403935, 0.014102541363254933, -0.9991900001852857)
(0.038543329609392496, -0.0003553710659933777, -0.999256866603391)
(-0.059650335369058796, 0.2836008965956223, -0.957085350917314)
(0.07120275164430948, 0.15501745592193814, -0.9853424564676835)
(0.019430275461300477, -0.016924918736973275, -0.9996679506322311)
(-0.009405122807374133, 0.01038043879149432, -0.9999018902649771)
(-0.06764155512665598, 0.10109884730585805, -0.9925742506701826)
(-0.4335044371414163, -0.04272292924300987, -0.9001381306752874)
(0.1547475456739112, 0.1058324460721404, -0.9822691537792929)
(0.02377124924576681, 0.01997600457323736, -0.9995178272300027)
(-0.07246727793578374, 0.025910687779825366, -0.9970341668605717)
(0.18216414197437858, 0.032978888473756074, -0.9827149221894282)
(0.15290154020338267, 0.04584912354122895, -0.9871772773286136)
(-0.13968176766004511, 0.3219800099063408, -0.9363855386559949)
(0.029470105302025755, -0.03538853663924204, -0.9989390193440341)
(-0.004132617398764401, 0.006913850396276055, -0.9999675595468752)
(-0.09281820650081786, -0.0033303462454199744, -0.9956775026763722)
(0.002849095031346293, -0.005657428342151019, -0.9999799378797836)
(-0.17766808890685637, 0.11554194065842782, -0.9772840478249247)
(0.11213694894276055, 0.12298650567963072, -0.986052546319172)
(0.001990169373348898, -0.02159335805270309, -0.9997648554104476)
(0.1220857707120692, 0.22458676858451176, 0.9667760071321625)
(0.017195160586602025, 0.007247897475758998, 0.9998258820587622)
(-0.025724536987576034, -0.03854562737518094, 0.9989256643049214)
(0.07995677083582325, 0.06841815408518204, 0.9944475204801327)
(0.023085490552234942, -0.05867494302247712, 0.9980101758936487)
(-0.08667110531393686, -0.006624515816827105, 0.9962149543616845)
(0.1920599792489376, 0.2132203516502043, 0.9579405232127206)
(-0.2909437935063223, 0.02253009381377866, 0.95647483181362)
(0.03679703371575449, 0.08827154309792538, 0.9954165524989188)
(0.07073599461255005, 0.0018575933295502192, 0.9974933425407887)
(0.11265313875192232, -0.050331756568843374, 0.9923587983234868)
(0.0135821453614236, -0.14924370672258302, 0.9887071565084804)
(0.00684048301451636, -0.05743663980824856, 0.9983257184905464)
(0.0162544478386569, -0.00046539658840202266, 0.9998677794245977)
(0.03194033440911223, -0.06865644607195265, 0.9971289322101747)
(0.052651647875885006, 0.013014748886868464, 0.9985281269385282)
(-0.01153403287383527, 0.011541804113508016, 0.999866867559612)
(-0.1154351483601163, -0.016221720874243797, 0.9931825523512563)
(-0.011736168352836153, -0.06416945678739193, 0.9978700031406922)
(0.10735934800946659, -0.07042077042936555, 0.991723189951267)
(-0.25683323937685737, 0.02724936477357457, 0.9660715083629299)
(0.02762507989459625, -0.007227120481663415, 0.9995922287064665)
(-0.16888734540512232, 0.062955599603504, 0.9836227208846765)
(-0.030811567957289416, 0.0012026172443309823, 0.999524487439791)
(0.0037978382017301144, -0.006405758846836091, 0.9999722709548449)
(0.029375753973966984, 0.20659191354069298, 0.977986117661215)
(0.011079675690970497, 0.1808097994125037, -0.9834556712038388)
(-0.30408328927821304, 0.00586360957508457, -0.952627404216619)
(-0.006309975367090723, 0.007246975948212268, -0.9999538317094808)
(-0.07203432456946832, -0.05319968383398382, -0.9959823541226946)
(-0.0703037809155508, -0.018030796659188844, -0.9973626565902762)
(-0.1310397710409036, -0.027096332387853674, -0.9910067442639704)
(-0.09422138498833096, 0.027449799305064172, -0.9951727684824341)
(0.23968002719379328, -0.21255136761884882, -0.9472990027904281)
(-0.14828763974928505, 0.014282894844206487, -0.9888411271849769)
(-0.014510294112887316, -0.0014225566796801756, -0.9998937081996518)
(-0.030751914529887712, -0.01467242027220784, -0.9994193513416189)
(0.03433253037512956, 0.0971614023304749, -0.9946762987300021)
